Species removed,Secondary extinctions,Total lost,Fraction of web lost
Ariidae,0,1,0.036
Aristeu varidens,0,1,0.036
Condrichtis,0,1,0.036
Demersal fish,0,1,0.036
Dentex,0,1,0.036
Haemulidae,0,1,0.036
Large pelagics,0,1,0.036
Large Zoo,0,1,0.036
Macrobenthos,0,1,0.036
Merluccius,0,1,0.036
Mesopelagics,0,1,0.036
Middlebenthos,0,1,0.036
Miscelaneous,0,1,0.036
Parapenaeus longirostris,0,1,0.036
Penaeus,0,1,0.036
Polynemidae,0,1,0.036
Pseudotolithus,0,1,0.036
Sardinella,0,1,0.036
Sciaenidae,0,1,0.036
Serranidae,0,1,0.036
Small pelagics,0,1,0.036
Small Zoo,0,1,0.036
Trachurus,0,1,0.036
Phytoplankton,0,1,0.036
Detritus,0,1,0.036
Cephalopodes,0,1,0.036
Marine birds,0,1,0.036
Marine mammals,0,1,0.036
